epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.445,1.38949,1.50093,1.39831,0.68202,0.60786,0.6511,0.40636,1.3828,1.32334,1.37887,0.001,0.001,0.001
2,267.388,1.33649,1.39182,1.35181,0.69955,0.60036,0.66818,0.42209,1.37303,1.29242,1.36643,0.000998474,0.000998474,0.000998474
3,397.652,1.30746,1.34105,1.32723,0.70424,0.60646,0.67437,0.42861,1.3616,1.26037,1.34673,0.000993906,0.000993906,0.000993906
4,527.081,1.2888,1.30521,1.31896,0.7082,0.60007,0.67408,0.42552,1.3757,1.28769,1.35153,0.000986323,0.000986323,0.000986323
5,656.539,1.27564,1.27558,1.30686,0.73363,0.59559,0.68132,0.43279,1.36606,1.25881,1.35033,0.000975773,0.000975773,0.000975773
6,786.902,1.26463,1.27466,1.3056,0.71728,0.59734,0.67737,0.42942,1.36596,1.27056,1.35555,0.00096232,0.00096232,0.00096232
7,917.339,1.247,1.23324,1.28353,0.70712,0.62041,0.6847,0.43193,1.36669,1.25483,1.35429,0.000946048,0.000946048,0.000946048
8,1046.69,1.2405,1.21719,1.28542,0.70695,0.62277,0.68219,0.43448,1.3624,1.25165,1.34838,0.000927057,0.000927057,0.000927057
9,1176.09,1.23373,1.20581,1.28147,0.72703,0.61842,0.6898,0.43876,1.36366,1.23239,1.34625,0.000905463,0.000905463,0.000905463
10,1305.26,1.21925,1.18357,1.27034,0.72846,0.59895,0.67709,0.42455,1.3798,1.26997,1.35603,0.000881401,0.000881401,0.000881401
11,1434.69,1.21923,1.17876,1.2679,0.7329,0.61089,0.6894,0.43259,1.37656,1.23705,1.35609,0.000855018,0.000855018,0.000855018
12,1563.91,1.20508,1.15846,1.26072,0.73216,0.61686,0.69268,0.43608,1.36645,1.24937,1.35153,0.000826477,0.000826477,0.000826477
13,1693.15,1.19608,1.13473,1.25235,0.72962,0.60634,0.68293,0.43309,1.37384,1.26866,1.35339,0.000795954,0.000795954,0.000795954
14,1822.11,1.19854,1.13374,1.25188,0.74818,0.6028,0.68781,0.43403,1.37762,1.25303,1.35605,0.000763637,0.000763637,0.000763637
15,1952.18,1.19,1.11296,1.24742,0.72483,0.62602,0.69644,0.44009,1.37169,1.23095,1.35328,0.000729725,0.000729725,0.000729725
16,2081.93,1.18507,1.11467,1.24393,0.7406,0.61097,0.68999,0.43548,1.37082,1.23925,1.35682,0.000694428,0.000694428,0.000694428
17,2211.14,1.17142,1.10181,1.23846,0.73154,0.61397,0.68342,0.43057,1.37748,1.25831,1.35598,0.000657963,0.000657963,0.000657963
18,2340.29,1.16744,1.08263,1.23506,0.75993,0.60944,0.70045,0.44198,1.36535,1.22373,1.3526,0.000620555,0.000620555,0.000620555
19,2469.39,1.1532,1.07156,1.22469,0.76579,0.61784,0.70533,0.44776,1.36617,1.21368,1.34869,0.000582435,0.000582435,0.000582435
20,2598.86,1.15853,1.06758,1.22771,0.75485,0.624,0.70544,0.44728,1.37297,1.21793,1.34879,0.000543837,0.000543837,0.000543837
21,2729.56,1.15767,1.06419,1.22263,0.74689,0.63367,0.70636,0.45328,1.3549,1.21263,1.33774,0.000505,0.000505,0.000505
22,2859.29,1.13603,1.0517,1.21783,0.74933,0.64029,0.71181,0.45381,1.36231,1.20011,1.34212,0.000466163,0.000466163,0.000466163
23,2988.64,1.14188,1.05376,1.21817,0.76604,0.63645,0.71476,0.45438,1.36314,1.19383,1.33947,0.000427565,0.000427565,0.000427565
24,3118.1,1.13584,1.03572,1.20816,0.74742,0.6413,0.71554,0.45518,1.36302,1.19134,1.34601,0.000389445,0.000389445,0.000389445
25,3247.89,1.12523,1.02419,1.20435,0.73894,0.64278,0.71366,0.45274,1.37446,1.20153,1.34941,0.000352037,0.000352037,0.000352037
26,3377.37,1.13019,1.02054,1.20516,0.74144,0.64889,0.71555,0.45875,1.36026,1.20149,1.34153,0.000315572,0.000315572,0.000315572
27,3507.58,1.12385,1.0078,1.20265,0.7461,0.64576,0.71571,0.4595,1.36206,1.18956,1.34324,0.000280275,0.000280275,0.000280275
28,3637.75,1.11561,1.00638,1.19812,0.7633,0.62903,0.71663,0.45802,1.35493,1.19215,1.33999,0.000246363,0.000246363,0.000246363
29,3766.96,1.12303,1.00748,1.1984,0.7616,0.63483,0.71713,0.45814,1.35761,1.18525,1.34085,0.000214046,0.000214046,0.000214046
30,3896.46,1.11007,1.00023,1.19466,0.74603,0.65187,0.71942,0.45987,1.35781,1.18029,1.3418,0.000183523,0.000183523,0.000183523
31,4026.02,1.10056,0.99637,1.19147,0.74717,0.64432,0.7177,0.4613,1.35431,1.17692,1.33725,0.000154982,0.000154982,0.000154982
32,4155.94,1.1084,0.99175,1.19202,0.75136,0.6457,0.72117,0.46285,1.35412,1.17773,1.33657,0.000128599,0.000128599,0.000128599
33,4287.65,1.11082,0.99911,1.19707,0.75044,0.65123,0.72112,0.46367,1.35191,1.1729,1.33493,0.000104537,0.000104537,0.000104537
34,4418.93,1.08659,0.97767,1.18107,0.77385,0.63298,0.72316,0.46602,1.35131,1.16832,1.33617,8.29431e-05,8.29431e-05,8.29431e-05
35,4548.5,1.09638,0.97478,1.183,0.7696,0.63767,0.72111,0.46453,1.35443,1.17098,1.33749,6.39518e-05,6.39518e-05,6.39518e-05
36,4678.2,1.0936,0.98026,1.18426,0.76044,0.64119,0.72281,0.46641,1.35512,1.17064,1.33956,4.76796e-05,4.76796e-05,4.76796e-05
37,4807.64,1.10621,0.97651,1.18557,0.76439,0.63728,0.72453,0.46692,1.35374,1.16793,1.33729,3.4227e-05,3.4227e-05,3.4227e-05
38,4936.94,1.09105,0.96847,1.18142,0.76291,0.63821,0.72346,0.46628,1.35332,1.17051,1.33695,2.36769e-05,2.36769e-05,2.36769e-05
39,5066.81,1.09296,0.97438,1.1809,0.77058,0.6334,0.72405,0.46631,1.35402,1.16676,1.33919,1.60943e-05,1.60943e-05,1.60943e-05
40,5197.16,1.09438,0.97059,1.18452,0.76948,0.63554,0.72443,0.46612,1.35399,1.16806,1.33909,1.15259e-05,1.15259e-05,1.15259e-05
