epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.016,1.133,0.91752,1.18749,0.50656,0.3654,0.37031,0.21253,1.73351,2.62346,1.73351,0.000492063,0.000492063,0.0512857
2,527.565,1.24616,1.10812,1.26407,0.48766,0.35289,0.35319,0.18714,1.80419,2.38221,1.79432,0.000986567,0.000986567,0.00178022
3,789.184,1.37616,1.34083,1.36181,0.512,0.3455,0.36206,0.19234,1.82515,2.29271,1.8022,0.000977975,0.000977975,0.000977975
4,1050.58,1.40549,1.36036,1.37705,0.48283,0.32256,0.33606,0.18059,1.85866,2.32256,1.85718,0.000950953,0.000950953,0.000950953
5,1311.8,1.39003,1.32926,1.37149,0.48602,0.38446,0.38025,0.20415,1.82408,2.10935,1.74756,0.000914058,0.000914058,0.000914058
6,1572.99,1.37104,1.3065,1.35408,0.55188,0.40617,0.42093,0.22605,1.78604,2.00123,1.71477,0.000868198,0.000868198,0.000868198
7,1834.73,1.35416,1.27214,1.35327,0.56133,0.44055,0.45326,0.25729,1.66722,1.81941,1.6239,0.000814503,0.000814503,0.000814503
8,2096.12,1.33485,1.23234,1.33148,0.6191,0.46046,0.49907,0.28416,1.64362,1.79707,1.5843,0.000754296,0.000754296,0.000754296
9,2357.2,1.31005,1.16599,1.30563,0.61356,0.46863,0.50622,0.29506,1.61655,1.7804,1.59383,0.000689058,0.000689058,0.000689058
10,2618.62,1.27392,1.12976,1.29935,0.65984,0.47324,0.54154,0.31354,1.60757,1.63485,1.54962,0.000620396,0.000620396,0.000620396
11,2882.35,1.22468,0.98479,1.26275,0.65157,0.51531,0.55876,0.32696,1.59707,1.53033,1.54366,0.00055,0.00055,0.00055
12,3143.76,1.20403,0.93289,1.24566,0.67227,0.51893,0.58357,0.34376,1.5488,1.46911,1.52399,0.000479604,0.000479604,0.000479604
13,3405.02,1.17237,0.87415,1.22208,0.66472,0.53805,0.58589,0.35088,1.54135,1.49052,1.51509,0.000410942,0.000410942,0.000410942
14,3666.16,1.13948,0.83672,1.19875,0.67592,0.55259,0.60762,0.35948,1.53262,1.41271,1.51362,0.000345704,0.000345704,0.000345704
15,3927.31,1.11564,0.79311,1.18276,0.69703,0.5449,0.61235,0.36863,1.52966,1.46476,1.49753,0.000285497,0.000285497,0.000285497
16,4188.47,1.07677,0.7545,1.15957,0.69609,0.57461,0.63199,0.38136,1.49507,1.3385,1.4713,0.000231802,0.000231802,0.000231802
17,4449.83,1.04637,0.71891,1.14304,0.70182,0.57961,0.64281,0.39046,1.49329,1.33156,1.48001,0.000185942,0.000185942,0.000185942
18,4710.9,1.03633,0.69279,1.12726,0.71864,0.57753,0.64574,0.39326,1.49581,1.336,1.47537,0.000149047,0.000149047,0.000149047
19,4971.95,1.01722,0.66961,1.12222,0.71475,0.5818,0.65243,0.4014,1.48021,1.31014,1.4634,0.000122025,0.000122025,0.000122025
20,5233.2,0.99918,0.66339,1.10649,0.72875,0.56555,0.64697,0.39817,1.48115,1.3023,1.46495,0.00010554,0.00010554,0.00010554
