epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.28,1.83027,2.59229,1.83339,0.70864,0.6873,0.73378,0.46748,1.304,1.15842,1.36952,0.00329787,0.00329787,0.0703191
2,270.21,1.36628,1.32263,1.43314,0.75968,0.70131,0.77786,0.50189,1.28458,1.03565,1.34744,0.00659079,0.00659079,0.0402787
3,402.143,1.3547,1.29846,1.42666,0.77147,0.69804,0.77437,0.49762,1.3041,1.13128,1.39284,0.00972313,0.00972313,0.0100777
4,533.779,1.35817,1.26393,1.43203,0.77163,0.72152,0.7838,0.49814,1.29133,1.05446,1.39256,0.00946048,0.00946048,0.00946048
5,665.424,1.33958,1.21622,1.42217,0.76278,0.73286,0.79529,0.51376,1.27593,1.00304,1.36471,0.00905463,0.00905463,0.00905463
6,797.096,1.31659,1.1594,1.40363,0.77668,0.72908,0.79838,0.52567,1.26558,0.96921,1.36163,0.00855018,0.00855018,0.00855018
7,928.87,1.31106,1.15517,1.40244,0.78478,0.7334,0.80545,0.52433,1.25777,0.96571,1.35285,0.00795954,0.00795954,0.00795954
8,1060.38,1.29617,1.11098,1.39204,0.7932,0.72037,0.80703,0.53249,1.24342,0.95379,1.33992,0.00729725,0.00729725,0.00729725
9,1192.18,1.28206,1.08721,1.38504,0.79183,0.73078,0.80611,0.53036,1.25191,0.95206,1.33799,0.00657963,0.00657963,0.00657963
10,1323.83,1.28022,1.08516,1.37605,0.77927,0.72864,0.8041,0.53172,1.239,0.92728,1.33456,0.00582435,0.00582435,0.00582435
11,1455.42,1.26097,1.06043,1.36598,0.79042,0.73643,0.81201,0.53868,1.22547,0.92163,1.31619,0.00505,0.00505,0.00505
12,1587.16,1.25446,1.04865,1.3645,0.79339,0.72963,0.80737,0.53832,1.22815,0.90623,1.32034,0.00427565,0.00427565,0.00427565
13,1718.69,1.2356,1.02109,1.3509,0.80751,0.7327,0.81855,0.54603,1.22179,0.89827,1.30925,0.00352037,0.00352037,0.00352037
14,1850.36,1.21962,0.99932,1.33912,0.80794,0.72909,0.81327,0.54464,1.22057,0.89631,1.30905,0.00280275,0.00280275,0.00280275
15,1982.08,1.2139,0.98934,1.33482,0.82284,0.72728,0.82289,0.54961,1.21604,0.87571,1.3065,0.00214046,0.00214046,0.00214046
16,2113.77,1.21382,0.98527,1.33323,0.80015,0.73448,0.81965,0.54939,1.21277,0.87801,1.30569,0.00154982,0.00154982,0.00154982
17,2245.42,1.2106,0.98775,1.33684,0.79487,0.75015,0.82385,0.55244,1.2074,0.87151,1.30123,0.00104537,0.00104537,0.00104537
18,2377.48,1.1953,0.96316,1.3282,0.80475,0.74133,0.82375,0.55569,1.20288,0.86409,1.29667,0.000639518,0.000639518,0.000639518
19,2510.19,1.18521,0.95195,1.32357,0.80125,0.75156,0.82436,0.55602,1.19819,0.86093,1.29296,0.00034227,0.00034227,0.00034227
20,2642.25,1.17884,0.9426,1.32004,0.79656,0.75398,0.8251,0.55685,1.2004,0.85914,1.29311,0.000160943,0.000160943,0.000160943
