epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10977.7,1.0697,0.83917,1.18911,0.68955,0.56038,0.61371,0.36633,1.56072,1.3907,1.5345,0.000242783,0.000242783,0.000242783
43,11238.8,1.06422,0.84127,1.19381,0.74407,0.531,0.61959,0.36732,1.56727,1.4378,1.53521,0.000233081,0.000233081,0.000233081
44,11500.6,1.05609,0.83953,1.18759,0.73526,0.55735,0.63331,0.3771,1.55151,1.38233,1.51555,0.000223409,0.000223409,0.000223409
45,11761.7,1.05449,0.83483,1.18653,0.69512,0.56038,0.62303,0.37748,1.54306,1.42219,1.51398,0.000213782,0.000213782,0.000213782
46,12022.9,1.04006,0.82863,1.17433,0.70881,0.57295,0.63249,0.37591,1.53665,1.33799,1.49792,0.000204215,0.000204215,0.000204215
47,12284,1.03697,0.80336,1.16643,0.69802,0.57499,0.6313,0.37662,1.54946,1.3578,1.51309,0.000194722,0.000194722,0.000194722
48,12544.9,1.03319,0.8113,1.17338,0.7118,0.54786,0.6246,0.37561,1.53479,1.38577,1.50396,0.000185318,0.000185318,0.000185318
49,12805.9,1.02362,0.81138,1.1662,0.74447,0.55108,0.6338,0.38109,1.53563,1.3798,1.5167,0.000176018,0.000176018,0.000176018
50,13067.1,1.02127,0.79546,1.16536,0.72343,0.56304,0.63722,0.38432,1.54123,1.41258,1.51163,0.000166836,0.000166836,0.000166836
51,13328.2,1.03289,0.80438,1.16967,0.7194,0.56374,0.6348,0.3801,1.54907,1.3792,1.51747,0.000157786,0.000157786,0.000157786
52,13589.3,1.02244,0.79838,1.16887,0.72001,0.57545,0.64424,0.39149,1.5164,1.32323,1.49132,0.000148882,0.000148882,0.000148882
53,13850.5,1.01392,0.79219,1.16057,0.71464,0.5674,0.63575,0.38669,1.52548,1.36205,1.50331,0.000140137,0.000140137,0.000140137
54,14111.8,1.0069,0.77968,1.15511,0.73189,0.572,0.64471,0.39008,1.52758,1.35572,1.49238,0.000131566,0.000131566,0.000131566
55,14373.1,0.9958,0.7774,1.14887,0.71562,0.57745,0.6446,0.38879,1.52298,1.32557,1.49855,0.000123182,0.000123182,0.000123182
56,14634.3,1.00572,0.78437,1.15657,0.70103,0.58804,0.64432,0.39427,1.52388,1.38662,1.50114,0.000114996,0.000114996,0.000114996
57,14895.7,0.99443,0.7703,1.14685,0.70711,0.58549,0.6397,0.38795,1.5281,1.36293,1.50265,0.000107023,0.000107023,0.000107023
58,15157.2,0.99107,0.77353,1.14995,0.7131,0.57454,0.63923,0.38567,1.54546,1.39172,1.51439,9.92742e-05,9.92742e-05,9.92742e-05
59,15418.1,0.98742,0.76181,1.14326,0.72151,0.56935,0.63574,0.38451,1.5284,1.37147,1.50148,9.17616e-05,9.17616e-05,9.17616e-05
60,15679.2,0.99338,0.76933,1.15254,0.73739,0.57323,0.64627,0.39101,1.5318,1.37915,1.5094,8.44968e-05,8.44968e-05,8.44968e-05
61,15940.3,0.98796,0.75325,1.14573,0.74998,0.57174,0.64688,0.39158,1.52633,1.36592,1.50661,7.74911e-05,7.74911e-05,7.74911e-05
62,16201,0.98095,0.75436,1.14025,0.73706,0.5629,0.64341,0.39136,1.52107,1.36982,1.50302,7.07552e-05,7.07552e-05,7.07552e-05
63,16462,0.97293,0.75508,1.13731,0.73836,0.57064,0.65124,0.39919,1.51743,1.34403,1.49551,6.42995e-05,6.42995e-05,6.42995e-05
64,16722.8,0.97722,0.75715,1.13739,0.74705,0.56784,0.64915,0.39447,1.52925,1.35574,1.50688,5.81341e-05,5.81341e-05,5.81341e-05
65,16983.8,0.97754,0.74146,1.13496,0.73154,0.57803,0.65085,0.39535,1.51808,1.33409,1.49814,5.22683e-05,5.22683e-05,5.22683e-05
66,17244.6,0.97924,0.75295,1.13552,0.72174,0.58664,0.65425,0.39778,1.51693,1.35532,1.50062,4.67113e-05,4.67113e-05,4.67113e-05
67,17505.4,0.96088,0.73417,1.12797,0.75329,0.56629,0.65156,0.39783,1.51814,1.3649,1.50064,4.14716e-05,4.14716e-05,4.14716e-05
68,17766.7,0.95657,0.73143,1.12308,0.74905,0.57398,0.65404,0.39815,1.51606,1.33219,1.50333,3.65572e-05,3.65572e-05,3.65572e-05
69,18027.9,0.95556,0.7306,1.12537,0.74989,0.5728,0.65493,0.39903,1.51802,1.35955,1.50564,3.19759e-05,3.19759e-05,3.19759e-05
70,18288.8,0.94908,0.71744,1.11955,0.73611,0.57499,0.65548,0.39903,1.51292,1.34038,1.49843,2.77346e-05,2.77346e-05,2.77346e-05
71,18552.7,0.79547,0.46944,0.99557,0.73818,0.56969,0.6461,0.39344,1.52243,1.3648,1.51181,2.38398e-05,2.38398e-05,2.38398e-05
72,18813.3,0.78052,0.45113,0.98904,0.72337,0.58262,0.65011,0.39631,1.52067,1.36808,1.5103,2.02976e-05,2.02976e-05,2.02976e-05
73,19073.9,0.77529,0.44874,0.98461,0.73215,0.57502,0.65131,0.3966,1.52366,1.36694,1.51548,1.71135e-05,1.71135e-05,1.71135e-05
74,19334.3,0.77227,0.44474,0.98678,0.71475,0.58949,0.6532,0.39875,1.52292,1.36978,1.51371,1.42923e-05,1.42923e-05,1.42923e-05
75,19594.8,0.77082,0.44711,0.98099,0.71404,0.59212,0.65205,0.39853,1.52146,1.37312,1.51475,1.18384e-05,1.18384e-05,1.18384e-05
76,19855.5,0.77547,0.44607,0.98741,0.7158,0.58995,0.65153,0.39808,1.52055,1.37671,1.51255,9.75564e-06,9.75564e-06,9.75564e-06
77,20116.2,0.76795,0.44233,0.98158,0.72197,0.58561,0.65296,0.39822,1.52099,1.3724,1.51491,8.04714e-06,8.04714e-06,8.04714e-06
78,20376.8,0.77374,0.44322,0.98461,0.73082,0.57765,0.65296,0.39809,1.52045,1.37345,1.514,6.71556e-06,6.71556e-06,6.71556e-06
79,20637.5,0.77085,0.43927,0.98348,0.74188,0.57232,0.65259,0.39886,1.52147,1.38013,1.51627,5.76296e-06,5.76296e-06,5.76296e-06
80,20898,0.76307,0.43848,0.98039,0.73581,0.57741,0.65342,0.39837,1.51911,1.37638,1.51408,5.19081e-06,5.19081e-06,5.19081e-06
