epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,5072.58,1.02291,0.75623,1.19275,0.81913,0.75861,0.84263,0.58084,1.15241,0.78737,1.24312,4.38555e-05,4.38555e-05,4.38555e-05
40,5202.48,1.02347,0.74959,1.19502,0.81471,0.76298,0.84226,0.58113,1.15337,0.78566,1.24261,4.16614e-05,4.16614e-05,4.16614e-05
41,5332.69,1.02514,0.75247,1.19482,0.81336,0.7639,0.84241,0.58075,1.1548,0.78422,1.24287,3.94852e-05,3.94852e-05,3.94852e-05
42,5464.29,1.02948,0.7585,1.19648,0.80864,0.76479,0.84247,0.58107,1.15557,0.78596,1.24297,3.73312e-05,3.73312e-05,3.73312e-05
43,5594.93,1.02102,0.75138,1.19532,0.80879,0.77188,0.84312,0.58153,1.1561,0.78429,1.24417,3.52037e-05,3.52037e-05,3.52037e-05
44,5726.28,1.0231,0.7553,1.19219,0.80175,0.77411,0.84287,0.58221,1.15538,0.78469,1.24372,3.31069e-05,3.31069e-05,3.31069e-05
45,5858.75,1.02583,0.74672,1.19362,0.80458,0.7705,0.84263,0.58192,1.1558,0.78356,1.24439,3.10453e-05,3.10453e-05,3.10453e-05
46,5990.19,1.01899,0.748,1.18993,0.79871,0.77614,0.84257,0.58095,1.15717,0.78382,1.24492,2.90228e-05,2.90228e-05,2.90228e-05
47,6122.51,1.01635,0.73899,1.18555,0.79368,0.78687,0.8439,0.58268,1.15474,0.78215,1.24389,2.70435e-05,2.70435e-05,2.70435e-05
48,6254.04,1.01562,0.74389,1.18828,0.80278,0.77235,0.84305,0.58202,1.15546,0.78345,1.24371,2.51115e-05,2.51115e-05,2.51115e-05
49,6386.32,1.01748,0.74116,1.19096,0.7961,0.77935,0.84244,0.58178,1.15592,0.78391,1.24507,2.32306e-05,2.32306e-05,2.32306e-05
50,6517.94,1.0085,0.73785,1.18916,0.79914,0.77784,0.84322,0.58231,1.15653,0.78326,1.24471,2.14046e-05,2.14046e-05,2.14046e-05
51,6649.49,1.01243,0.74319,1.18466,0.80083,0.7774,0.84292,0.58232,1.15572,0.78249,1.24485,1.96373e-05,1.96373e-05,1.96373e-05
52,6780.1,1.01128,0.73661,1.18726,0.80423,0.77335,0.84322,0.58149,1.15674,0.78201,1.24464,1.7932e-05,1.7932e-05,1.7932e-05
53,6910.5,1.01925,0.74355,1.18755,0.7988,0.78065,0.84372,0.58156,1.15663,0.78273,1.24435,1.62924e-05,1.62924e-05,1.62924e-05
54,7041.04,1.01486,0.73705,1.18703,0.80036,0.77804,0.84356,0.58195,1.15721,0.78285,1.24463,1.47217e-05,1.47217e-05,1.47217e-05
55,7171.8,1.01325,0.74114,1.18927,0.8066,0.77585,0.84393,0.58188,1.15688,0.7825,1.24453,1.3223e-05,1.3223e-05,1.3223e-05
56,7303.2,1.01275,0.73123,1.18514,0.80425,0.77884,0.84314,0.58248,1.15691,0.78208,1.24472,1.17993e-05,1.17993e-05,1.17993e-05
57,7433.55,1.01385,0.73056,1.18267,0.80215,0.7785,0.84306,0.58181,1.15748,0.78196,1.2448,1.04537e-05,1.04537e-05,1.04537e-05
58,7564.07,1.0022,0.74087,1.17887,0.79939,0.78096,0.84358,0.58188,1.15797,0.78308,1.24579,9.18862e-06,9.18862e-06,9.18862e-06
59,7694.15,1.01622,0.74091,1.18695,0.79555,0.78197,0.84298,0.58112,1.15759,0.78269,1.24523,8.00678e-06,8.00678e-06,8.00678e-06
60,7824.09,1.00035,0.72671,1.17899,0.80001,0.77849,0.84302,0.58192,1.157,0.7827,1.2444,6.91052e-06,6.91052e-06,6.91052e-06
61,7954.12,1.0071,0.73309,1.18178,0.79801,0.78413,0.84326,0.58226,1.15646,0.7826,1.24424,5.90204e-06,5.90204e-06,5.90204e-06
62,8084.1,1.01253,0.73105,1.18031,0.80128,0.77794,0.84272,0.58215,1.15705,0.78292,1.24509,4.98338e-06,4.98338e-06,4.98338e-06
63,8214.03,1.01183,0.73459,1.18474,0.79667,0.78294,0.84259,0.58202,1.15717,0.7838,1.24507,4.15637e-06,4.15637e-06,4.15637e-06
64,8343.97,1.01125,0.72397,1.17916,0.79869,0.77955,0.84256,0.5817,1.1574,0.7844,1.24512,3.4227e-06,3.4227e-06,3.4227e-06
65,8474.01,1.00592,0.73464,1.18382,0.80003,0.78168,0.84334,0.58156,1.15758,0.78285,1.24532,2.78384e-06,2.78384e-06,2.78384e-06
66,8604.1,1.01163,0.7371,1.18817,0.79626,0.78408,0.84345,0.5817,1.15738,0.78441,1.2451,2.24107e-06,2.24107e-06,2.24107e-06
67,8734.24,1.00497,0.73278,1.1826,0.8005,0.78061,0.84267,0.58185,1.15773,0.78348,1.24539,1.79549e-06,1.79549e-06,1.79549e-06
68,8864.33,1.01721,0.74522,1.18836,0.8003,0.78003,0.84262,0.58193,1.15697,0.78419,1.24461,1.44799e-06,1.44799e-06,1.44799e-06
69,8994.35,1.01342,0.73,1.18203,0.79576,0.78496,0.84259,0.58195,1.15762,0.78389,1.24492,1.19927e-06,1.19927e-06,1.19927e-06
70,9124.31,1.0133,0.72774,1.18042,0.79172,0.78721,0.84267,0.58219,1.15775,0.78425,1.24521,1.04984e-06,1.04984e-06,1.04984e-06
